State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.81578	3.47211	3.45189	3.22446	3.19414	2.98692	2.88079	2.85046	2.68368	2.71906	2.62809	2.79992	2.58766	2.60787	2.68874	2.83025	2.89090	2.89595	3.01219	2.95660	3.02230
2	4.13574	4.16507	4.10054	4.08881	3.99495	3.94215	3.84242	3.67817	3.60191	3.45525	3.35552	3.05634	3.07394	2.95075	2.91555	2.84515	2.83929	2.75129	2.61050	2.72783	2.66330
3	1.12450	1.11856	1.13340	1.11856	1.12450	1.21647	1.25208	1.30548	1.38559	1.41823	1.42713	1.32625	1.24911	1.25505	1.23724	1.21054	1.22241	1.32032	1.27285	1.25505	1.28175
4	1.16444	1.19422	1.19892	1.25377	1.23653	1.20519	1.33057	1.37758	1.39012	1.40109	1.41363	1.44497	1.43400	1.35564	1.32430	1.34467	1.34467	1.34937	1.39482	1.37915	1.35564
5	3.51975	3.59948	3.69061	3.89564	3.81590	4.18041	4.41962	4.40822	4.49935	4.31710	4.19180	4.14624	3.72478	3.63365	3.50835	3.32610	3.14385	2.87047	2.54014	2.61987	2.47180
6	4.01272	4.00901	4.03402	4.02013	4.03217	3.98678	3.95344	3.91361	3.83209	3.74224	3.61719	3.46991	3.35505	3.19758	3.07068	2.92710	2.81872	2.70016	2.61494	2.51953	2.43431
7	1.57285	1.58112	1.57738	1.57551	1.58138	1.59125	1.57978	1.58619	1.60006	1.62300	1.65394	1.67795	1.72624	1.77079	1.80146	1.83161	1.84948	1.86762	1.87963	1.88496	1.89723
8	0.65293	0.65384	0.65389	0.65432	0.65585	0.65609	0.65422	0.65284	0.65356	0.65408	0.65766	0.66173	0.66426	0.66956	0.67276	0.67444	0.67769	0.68070	0.68395	0.68705	0.69121
9	1.19470	1.19677	1.19125	1.19401	1.17538	1.17952	1.18780	1.20366	1.22436	1.21953	1.21332	1.20159	1.20228	1.19539	1.18849	1.18228	1.18021	1.18849	1.18780	1.19263	1.18849
10	1.96399	1.88447	1.82881	1.89243	1.87652	1.94013	2.18663	2.28204	2.23433	2.41722	2.32180	2.60805	2.59215	2.39336	2.32975	2.42517	2.31385	2.21048	2.18663	2.27409	2.13097
