State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	6.04901	7.07056	8.84601	11.02293	14.32848	18.03996	22.33583	26.61831	30.50377	35.30373	39.50591	32.30599	30.75805	30.41456	31.24875	30.70898	27.89414	23.45998	18.94107	15.04222	11.73222
2	5.93385	6.98496	8.51244	10.40236	13.03273	17.25788	22.87070	30.59610	38.27490	37.56035	35.23548	45.94334	46.97374	44.74725	39.25352	32.55334	26.43826	21.26556	17.53748	14.52396	12.32854
3	1.63677	1.64724	1.60010	1.58439	1.64986	1.74414	1.75985	1.73367	1.55558	1.24394	1.00039	0.86945	0.79874	0.73851	0.76470	0.86159	0.95587	1.06063	1.11562	1.25442	1.28323
4	2.07772	2.09155	2.13858	2.18008	2.15795	2.08187	1.94354	1.77062	1.44417	1.21039	0.98491	0.87286	0.81061	0.85350	0.93373	1.28370	1.79137	2.45121	2.79842	2.94090	2.97686
5	2.09124	1.89016	1.49805	1.20649	1.13611	1.06573	1.01546	1.11600	1.18638	1.32713	1.36735	1.28692	1.19643	1.31708	1.46789	1.51816	1.83989	2.47329	3.35805	4.79578	5.80118
6	0.54942	0.49301	0.44641	0.42270	0.40553	0.38999	0.37528	0.36710	0.36628	0.36056	0.38182	0.39653	0.41697	0.42351	0.42678	0.44804	0.47012	0.51263	0.59521	0.68106	0.81841
7	1.34542	1.31716	1.26301	1.18907	1.08053	0.95832	0.84130	0.68707	0.56887	0.53991	0.52955	0.50106	0.50506	0.52390	0.57311	0.66847	0.82646	1.01884	1.21403	1.39133	1.53473
8	0.71326	0.70369	0.68922	0.66788	0.63840	0.59837	0.54915	0.49407	0.44189	0.41659	0.41174	0.41060	0.41878	0.42802	0.44400	0.46648	0.49023	0.50971	0.52743	0.54168	0.55303
9	2.53213	2.53213	2.51935	2.51387	2.48221	2.40306	2.24233	2.02376	1.82284	1.72056	1.70290	1.71752	1.75466	1.85146	1.95557	2.05664	2.13091	2.16501	2.17901	2.15405	2.13822
10	2.05635	1.98617	1.85282	1.92300	1.79668	1.76158	1.74755	1.76860	1.85984	3.50211	2.94767	1.48085	1.00361	1.15100	1.34751	1.27732	1.23521	1.41769	1.41769	1.43173	1.49489
