State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.68793	43.31120	6.09402	1.53335	2.62836	39.50712	20.66559	0.38340
2	0.59268	35.77020	6.74879	1.79901	3.35587	35.23138	21.62463	0.21365
3	1.17182	0.16151	1.20679	1.48265	1.42728	1.00042	1.31637	0.38217
4	2.21846	0.39544	1.18459	1.47281	1.41378	0.98494	1.74839	0.44816
5	0.30523	0.09487	3.85036	1.91491	4.18085	1.36739	1.52286	0.12952
6	3.75345	0.13283	4.79440	2.20727	3.61757	0.38183	0.49859	0.22571
7	13.03322	0.46963	1.59244	1.83615	1.65385	0.52957	0.90011	0.39932
8	72.75947	0.32575	0.56849	0.76196	0.65769	0.41175	0.57038	1.18964
9	5.04047	3.11847	1.12015	0.82574	1.21345	1.70296	2.22061	1.02651
10	0.43726	4.27649	1.90085	1.07959	2.32204	2.94776	1.79536	0.78899
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
