State (Emission order)	H3k4me3	H3k4me2	H3k27ac	H3k4me1	Pol2b	H4k20me1	H3k9me1	H3k36me3	H3k27me3	Ctcf
1	0.6415728657580504	0.6881545566623274	0.046701712501340434	0.3514200829801221	0.03643030395843175	0.008656405172263766	0.003103608010555329	0.003900586263291265	0.05462685612245507	0.0761529412897345
2	0.9915671195662348	0.867660228000525	0.887042254043224	0.41232712905620406	0.31974398426083633	0.02460273352125323	0.0026088871397777825	0.027880875732583653	0.0012137257668116237	0.06709834036303013
3	0.1376302566170682	0.8049627521932426	0.905654099111989	0.9753232248707949	0.19574315290531347	0.00780603285709117	0.008441288450477459	0.02622337325538273	8.598975615553056E-5	0.03950647549995514
4	6.978387960388553E-19	0.18550556733922327	0.15126606419266206	0.756671782959995	0.0555654075722391	0.013467227902823339	0.008885716749002686	0.014059551507509888	0.001270402075598474	0.02357990613791346
5	0.1247931881570059	0.2742360027199026	0.19949270069395936	0.5769367859699202	0.3620155669212227	0.3081863254872827	0.1134749169058789	0.5901971196578183	0.10900036316075146	0.11032836853100735
6	2.389234302782004E-4	8.775407994528575E-4	0.013425356372473458	0.00651546521772734	0.11543750823526278	0.023050943457412154	0.008000552445896248	0.3645184126348138	8.889487203735678E-4	0.01724596880650207
7	1.4429111445512287E-4	6.874031936614467E-4	0.0053459984312544985	0.0041204326717021915	0.04437430144685451	0.014099792371498054	0.006984252783965022	0.019861621975751753	3.003010951231755E-4	0.007098032993351795
8	1.1633622412262143E-4	1.8878955659800117E-4	9.986271552798582E-4	3.932746080556756E-4	0.013124315245732104	7.355531166722801E-4	0.0010131043131465477	5.23739778466772E-4	0.004179055609535079	0.003596783826287098
9	3.0293599436611793E-4	0.0021278725985720945	0.0014502663254677465	0.0033598701713678978	0.021874545187115315	0.0044008872971200074	0.002994094676829567	4.995551088237282E-4	0.37090909997779214	0.010822428942182855
10	0.0013005062284292947	0.02682055934299952	0.007428389599475808	0.034739209562975944	0.03831531512379045	0.00437283478245364	0.0019515022102622908	0.002627141610404041	0.012565850007020329	0.8759878780086313
